Unnamed: 0,id,name,lat,lon,splitFailurePct,startDate,endDate,day count,startTime,endTime,days_of_week,reportID,lookup,ID,Month,Year,Time,totalVehicleVolume,start_dt,month_no,year_no,crash_count,crashes per 1000 veh,total_crashes,tot crashes per 1000 veh
31972,30.1839_-97.7926,West Dittmar Road & South 1st Street,30.18391,-97.79264,0.737,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,88493,44652,4,2022,1,1.13003E-05,9,0.10170296
31973,30.1927_-97.7776,East William Cannon Drive & Circle S Road,30.19275,-97.77757,0.457,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,120288,44652,4,2022,3,2.49401E-05,14,0.116387337
31974,30.2000_-97.8074,Matthews Lane & Menchaca Road,30.20001,-97.80745,0.055,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,115244,44652,4,2022,0,0,15,0.13015862
31975,30.2154_-97.7334,Burleson Road & East Ben White Boulevard,30.21538,-97.7334,1.151,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,98305,44652,4,2022,0,0,1,0.010172423
31976,30.2256_-97.7244,East Oltorf Street & Wickersham Lane,30.22561,-97.72436,0.045,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,55634,44652,4,2022,0,0,11,0.197720818
31977,30.2364_-97.8226,South Mopac Expressway,30.23641,-97.82257,1.323,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,114141,44652,4,2022,0,0,0,0
31978,30.2407_-97.7365,Woodland Avenue & South Interstate 35,30.24065,-97.7365,1.36,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,51175,44652,4,2022,0,0,3,0.058622374
31979,30.2419_-97.7525,West Live Oak Street & South Congress Avenue,30.24193,-97.75251,0.077,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,96335,44652,4,2022,0,0,2,0.020760886
31980,30.2723_-97.7350,East 12th Street & Red River Street,30.2723,-97.73502,0.562,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,35997,44652,4,2022,0,0,1,0.027780093
31981,30.2831_-97.7275,Clyde Littlefield Drive & North Interstate 35,30.2831,-97.72748,3.328,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,72458,44652,4,2022,2,2.76022E-05,16,0.220817577
31982,30.2938_-97.7329,Duval Street & East 32nd Street,30.29383,-97.73293,0.298,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,26876,44652,4,2022,0,0,3,0.111623754
31983,30.3105_-97.7627,West 35th Street & Exposition Boulevard,30.31048,-97.76267,1.407,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,82824,44652,4,2022,0,0,4,0.04829518
31984,30.3131_-97.6650,Susquehanna Lane & Manor Road,30.3131,-97.665,0.035,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,73246,44652,4,2022,0,0,6,0.081915736
